index,et_ensemble_mad,time_start,Date
16t_20180101_20180131,7.988017859,1.5147648E12,2018-01-01
16t_20180201_20180228,13.934294968466324,1.5174432E12,2018-02-01
16t_20180301_20180331,34.81855621580262,1.5198624E12,2018-03-01
16t_20180401_20180430,49.031733214373176,1.5225408E12,2018-04-01
16t_20180501_20180531,94.10455828295862,1.5251328E12,2018-05-01
16t_20180601_20180630,113.55165275120538,1.5278112E12,2018-06-01
16t_20180701_20180731,133.75655828308382,1.5304032E12,2018-07-01
16t_20180801_20180831,107.98078085657242,1.5330816E12,2018-08-01
16t_20180901_20180930,61.97961573,1.53576E12,2018-09-01
16t_20181001_20181031,23.813228939432534,1.538352E12,2018-10-01
16t_20181101_20181130,8.297433618,1.5410304E12,2018-11-01
16t_20181201_20181231,7.601990079,1.5436224E12,2018-12-01
16t_20190101_20190131,4.187119732458279,1.5463008E12,2019-01-01
16t_20190201_20190228,4.048856480887171,1.5489792E12,2019-02-01
16t_20190301_20190331,26.995509924830962,1.5513984E12,2019-03-01
16t_20190401_20190430,46.86792600417122,1.5540768E12,2019-04-01
16t_20190501_20190531,66.60610073077476,1.5566688E12,2019-05-01
16t_20190601_20190630,87.07394884506006,1.5593472E12,2019-06-01
16t_20190701_20190731,127.20748032218204,1.5619392E12,2019-07-01
16t_20190801_20190831,98.24575969867388,1.5646176E12,2019-08-01
16t_20190901_20190930,63.78022050550623,1.567296E12,2019-09-01
16t_20191001_20191031,34.495311125672025,1.569888E12,2019-10-01
16t_20191101_20191130,10.206868673170446,1.5725664E12,2019-11-01
16t_20191201_20191231,6.59287793,1.5751584E12,2019-12-01
16t_20200101_20200131,4.230701787043449,1.5778368E12,2020-01-01
16t_20200201_20200229,7.484954580642656,1.5805152E12,2020-02-01
16t_20200301_20200331,23.24706313131379,1.5830208E12,2020-03-01
16t_20200401_20200430,48.92557239671526,1.5856992E12,2020-04-01
16t_20200501_20200531,64.40015100577483,1.5882912E12,2020-05-01
16t_20200601_20200630,113.07648078811498,1.5909696E12,2020-06-01
16t_20200701_20200731,139.82055230084092,1.5935616E12,2020-07-01
16t_20200801_20200831,106.28942431753005,1.59624E12,2020-08-01
16t_20200901_20200930,57.46708863614983,1.5989184E12,2020-09-01
16t_20201001_20201031,32.20446589589842,1.6015104E12,2020-10-01
16t_20201101_20201130,16.375790280060937,1.6041888E12,2020-11-01
16t_20201201_20201231,3.5617426097026996,1.6067808E12,2020-12-01
16t_20210101_20210131,0.913593147,1.6094592E12,2021-01-01
16t_20210201_20210228,7.886152272,1.6121376E12,2021-02-01
16t_20210301_20210331,33.11434108412017,1.6145568E12,2021-03-01
16t_20210401_20210430,50.56964086938827,1.6172352E12,2021-04-01
16t_20210501_20210531,80.06573632670914,1.6198272E12,2021-05-01
16t_20210601_20210630,117.6270524102086,1.6225056E12,2021-06-01
16t_20210701_20210731,128.6008790965576,1.6250976E12,2021-07-01
16t_20210801_20210831,110.90778385588497,1.627776E12,2021-08-01
16t_20210901_20210930,74.17262343680892,1.6304544E12,2021-09-01
16t_20211001_20211031,34.05177929776665,1.6330464E12,2021-10-01
16t_20211101_20211130,15.396400626995222,1.6357248E12,2021-11-01
16t_20211201_20211231,5.773127340133556,1.6383168E12,2021-12-01
16t_20220101_20220131,1.5809826477411353,1.6409952E12,2022-01-01
16t_20220201_20220228,7.552853855110389,1.6436736E12,2022-02-01
16t_20220301_20220331,29.78129379255751,1.6460928E12,2022-03-01
16t_20220401_20220430,45.84339392070873,1.6487712E12,2022-04-01
16t_20220501_20220531,80.50179528167028,1.6513632E12,2022-05-01
16t_20220601_20220630,119.98322924218186,1.6540416E12,2022-06-01
16t_20220701_20220731,136.30633289137498,1.6566336E12,2022-07-01
16t_20220801_20220831,107.54748781998168,1.659312E12,2022-08-01
16t_20220901_20220930,73.94247834378963,1.6619904E12,2022-09-01
16t_20221001_20221031,39.46754919978315,1.6645824E12,2022-10-01
16t_20221101_20221130,15.334369163614424,1.6672608E12,2022-11-01
16t_20221201_20221231,5.982231478085379,1.6698528E12,2022-12-01
16t_20230101_20230131,0.4542336173363763,1.6725312E12,2023-01-01
16t_20230201_20230228,15.86843754279646,1.6752096E12,2023-02-01
16t_20230301_20230331,30.310917316169675,1.6776288E12,2023-03-01
16t_20230401_20230430,68.39428819376519,1.6803072E12,2023-04-01
16t_20230501_20230531,87.35561839304872,1.6828992E12,2023-05-01
16t_20230601_20230630,97.09828865016877,1.6855776E12,2023-06-01
16t_20230701_20230731,132.01395926724575,1.6881696E12,2023-07-01
16t_20230801_20230831,123.75065178025336,1.690848E12,2023-08-01
16t_20230901_20230930,76.95082087884725,1.6935264E12,2023-09-01
16t_20231001_20231031,37.26220490011269,1.6961184E12,2023-10-01
16t_20231101_20231130,17.573820505203354,1.6987968E12,2023-11-01
16t_20231201_20231231,7.145322878488514,1.7013888E12,2023-12-01