YearStart,YearEnd,TotalSnow_in,Plowings_Contractors,Plowings_City,SpreadEvents,Salt_tons,Sand_tons,Brine_gallons,Street_miles,Lane_miles,SaltLane_miles,Source,TotalSalt_tons,Brine_tons,DaneCounty,Madison_SaltPerLaneMile,Dane_SaltPerLaneMile,ExtraSalt_Private,ExtraSalt_Private_steady
1959,1960,52.19,,,,628,,,,,,,628,,,,,628,2609.45025
1960,1961,22.09,,,,1291,,,,,,,1291,,,,,1291,1104.52815
1961,1962,49.29,,,,2311,,,,,,,2311,,,,,2311,2464.56825
1962,1963,37.19,,,,1695,,,,,,,1695,,,,,1695,1859.4498
1963,1964,31.09,,,,2465,,,,,,,2465,,,,,2465,1554.33155
1964,1965,50.90,,,,3971,,,,,,,3971,,,,,3971,2545.0801
1965,1966,25.40,,,,2671,,,,,,,2671,,,,,2671,1269.8826
1966,1967,37.99,,,,3967,,,,,,,3967,,,,,3967,1899.41045
1967,1968,12.70,,,,3720,,,,,,,3720,,,,,3720,634.84285
1968,1969,33.39,,,,6067,,,,,,,6067,,,,,6067,1669.4891
1969,1970,37.49,,,,3192,,,,,,,3192,,,,,3192,1874.6073
1970,1971,67.41,,,,5336,,,,,,,5336,,,,,5336,10110.8322
1971,1972,50.29,,,,6763,,,,,,,6763,,,,,6763,7543.7049
1972,1973,43.99,,,,5692,,,,,,,5692,,,,,5692,6598.23195
1973,1974,42.89,,,,3755,,,,,,,3755,,,,,3755,6432.8775
1974,1975,60.39,,,,4853,,,,,,,4853,,,,,4853,9058.4694
1975,1976,30.79,,,,2486,,,,,,,2486,,,,,2486,4618.70325
1976,1977,26.30,,,,1519,,,,,,,1519,,,,,1519,3944.88405
1977,1978,56.69,,,,2276,,,,,,,2276,,,,,2276,8503.35105
1978,1979,76.10,,,,3282,,,,,,,3282,,,,,3282,11414.7699
1979,1980,30.99,,,,2680,,,,,,,2680,,,,,2680,4648.2309
1980,1981,26.50,,,,1618,,,,,,,1618,,,,,1618,3974.41155
1981,1982,49.99,,,,4010,,,,,,,4010,,,,,4010,9998.4306
1982,1983,41.41,,,,2891,,,,,,,2891,,,,,2891,8281.8942
1983,1984,42.20,4,,23,"4,980.00","       6,181.89 ",,552.07,,,City of Madison Street Division ,4980,,,,,4980,8440.162
1984,1985,54.2,8,,20,2896.65,"       4,263.67 ",,567.78,,,City of Madison Street Division ,2896.65,,,,,2896.65,10840
1985,1986,72.4,8,,30,5574.1,"       8,730.37 ",,561.09,,,City of Madison Street Division ,5574.1,,,,,5574.1,14480
1986,1987,34.5,2,,16,3274.2,"       3,010.78 ",,564.26,,,City of Madison Street Division ,3274.2,,,,,3274.2,6900
1987,1988,62.2,6,,23,4491.3,"       5,367.15 ",,571,,,City of Madison Street Division ,4491.3,,,,,4491.3,12440
1988,1989,36,6,,23,4393.28,"       7,060.56 ",,580,,,City of Madison Street Division ,4393.28,,,,,4393.28,7200
1989,1990,34.8,4,,23,5604.95,"       5,809.48 ",,587.4,,,City of Madison Street Division ,5604.95,,,,,5604.95,6960
1990,1991,55,3,,24,5836,"       5,727.78 ",,587.4,,,City of Madison Street Division ,5836,,,,,5836,11000
1991,1992,42.4,3,,20,4950.28,"       3,751.39 ",,591.2,,,City of Madison Street Division ,4950.28,,,,,4950.28,8480
1992,1993,71.2,4,,31,7146.88,"       4,121.00 ",,595.2,,,City of Madison Street Division ,7146.88,,,,,7146.88,14240
1993,1994,73.7,8,,27,6825.06,"       3,952.56 ",,621.3,,,City of Madison Street Division ,6825.06,,,,,6825.06,14740
1994,1995,52.8,5,,28,5919.64,"       4,195.80 ",,627.8,,,City of Madison Street Division ,5919.64,,,,,5919.64,10560
1995,1996,60.5,6,,22,8093.81,"       7,025.87 ",,632,,,City of Madison Street Division ,8093.81,,,,,8093.81,12100
1996,1997,50.9,6,4,35,9862.15,"       6,115.45 ",,636,,,City of Madison Street Division ,9862.15,,,,,9862.15,10180
1997,1998,53.9,3,,31,7451,"       4,062.03 ",,643,,,City of Madison Street Division ,7451,,,,,7451,10780
1998,1999,38.1,4,,24,6644.03,"       6,835.16 ",,655,,,City of Madison Street Division ,6644.03,,,,,6644.03,7620
1999,2000,34.1,4,,25,7977.86,"       4,703.52 ",,655,,,City of Madison Street Division ,7977.86,,,,,7977.86,6820
2000,2001,52.2,5,,28,12485.03,"       7,818.43 ",,707.1,,,City of Madison Street Division ,12485.03,,,,,12485.03,10440
2001,2002,31.8,3,,20,6423.02,"       2,320.00 ",,710.04,,,City of Madison Street Division ,6423.02,,,,,6423.02,6360
2002,2003,28.8,2,,20,9010.33,"       3,162.50 ",,716.17,,,City of Madison Street Division ,9010.33,,,,,9010.33,5760
2003,2004,31.6,4,,22,7852.65,"       4,908.59 ",,730.52,,,City of Madison Street Division ,7852.65,,,,,7852.65,6320
2004,2005,43.9,5,,22,12037.06,"       3,926.42 ",8066,739.06,,,City of Madison Street Division ,12046.17,0.784122236,,,,12046.17,8780
2005,2006,47.6,6,,24,9762.38,"       2,928.56 ",2040,748.2,,,City of Madison Street Division ,9764.69,0.198315071,,,,9764.69,9520
2006,2007,55.1,6,,24,10984.19,"       4,640.47 ",30324.5,758.08,,,City of Madison Street Division ,11018.46,2.947943808,,,,11018.46,11020
2007,2008,101.4,14,1,36,"17,945.94","     15,626.47 ","37,669.00",763.02,1698.96,,City of Madison Street Division ,17988.51,3.66192667,"43,773",,26.1,17988.51,20280
2008,2009,72,9,,31,"9,780.84","     10,715.59 ","29,456.00",764.61,1704.73,,City of Madison Street Division ,9814.13,2.863514083,"43,643",,26.1,9814.13,14400
2009,2010,51.6,5,,22,"10,751.98","       6,197.74 ","62,571.00",766.15,1711.04,,City of Madison Street Division ,10822.69,6.082731521,"36,131",,24.1,10822.69,10320
2010,2011,73.4,9,,38,"13,837.01","       8,112.77 ","128,955.00",769.14,1717.91,,City of Madison Street Division ,13982.73,12.53613724,"46,706",,30.2,13982.73,14680
2011,2012,30.8,4,1,23,"7,595.00","       4,401.51 ","96,540.00",771.59,1734.75,,City of Madison Street Division ,7704.09,9.384969091,"25,469",,16.5,7704.09,9240
2012,2013,70.6,6,3,34,"14,733.54","     14,430.21 ","145,425.50",773.08,1741.78,724.3,City of Madison Street Division ,14897.87,14.1372884,"50,488",20.56864559,32.9,14897.87,21180
2013,2014,59.2,7,1,60,13119,"14,904.84","117,166.00",777.05,1750.2,734.3,City of Madison Street Division ,13251.4,11.39009,"53,531",18.0463026,34.9,14000,17760
2014,2015,33.7,5,,36,7213,"8,420.17","123,018.00",779.69,1735.96,734.3,City of Madison Street Division ,7352.01,11.95898206,"29,554",10.01227019,19.5,14000,10110
2015,2016,32.7,2,2,21,6437,"7,822.84","109,786.00",784.78,1752.04,735.6,City of Madison Street Division ,6561.06,10.67265607,"21,951",8.919331158,14.3,14000,9810
2016,2017,44,5,2,27,7586,"7,091.69","115,383.00",789.95,1761.55,735.6,City of Madison Street Division ,7716.38,11.21675874,"30,402",10.489913,19.7,14000,13200
2017,2018,44.4,4,,34,6705,"7,369.80","56,053.00",798.15,1779.15,735.6,City of Madison Street Division ,6768.34,5.449095426,"35,371",9.201114736,22.9,14000,13320
2018,2019,57.2,6,2,41,9321,"9,804.60","120,610.00",800.41,1781.79,855.91,City of Madison Street Division ,9457.29,11.7248925,"40,634",11.04939772,26.3,14000,17160
2019,2020,53.7,5.5,,31,6484.9,"7,363.10","144,408.75",802.08,1785.04,856.61,City of Madison Street Division ,6648.08,14.03844681,"25,398",7.760918037,15.2,14000,16110
2020,2021,45.3,5,,27,6092.5,"8,176.80","74,724.15",807.76,1796.14,809.97,City of Madison Street Division ,6176.94,7.264178974,"21,330",7.626134301,12.8,14000,13590
2021,2022,31.3,3,,26,5390.8,"6,816.80","43,208.00",812.58,1805.27,834.25,City of Madison Street Division ,5439.63,4.200390973,"16,470",6.520383578,10.2,14000,9390
2022,2023,71.8,8,,44,8956.6,7164.1,34631,818.79,1818.55,830.4,City of Madison Street Division ,9712.14,3.366592755,"33,417",11.69573699,20.1,14000,21540
2023,2024,43.3,3,,23,4752.975,4329.1,31943,827.74,1834.75,778.6,City of Madison Street Division ,5221.98,3.105283485,"13,894",6.706884151,8.3,14000,12990